CLI,term,int_rate,installment,grade,sub_grade,emp_length,home_ownership,annual_inc,verification_status,loan_status,dti,delinq_2yrs,earliest_cr_line,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,open_acc,pub_rec,revol_bal,revol_util,total_acc,out_prncp,out_prncp_inv,total_pymnt,total_pymnt_inv,total_rec_prncp,total_rec_int,total_rec_late_fee,recoveries,collection_recovery_fee,last_pymnt_amnt,last_credit_pull_d
5000, 36 months,10.65,162.87,B,B2,10+ years,RENT,24000,Verified,Fully Paid,27.65,0,Jan-85,1,,,3,0,13648,83.7,9,0,0,5861.071414,5831.78,5000,861.07,0,0,0,171.62,16-Jan
2500, 60 months,15.27,59.83,C,C4,< 1 year,RENT,30000,Source Verified,Charged Off,1,0,Apr-99,5,,,3,0,1687,9.4,4,0,0,1008.71,1008.71,456.46,435.17,0,117.08,1.11,119.66,13-Sep
2400, 36 months,15.96,84.33,C,C5,10+ years,RENT,12252,Not Verified,Fully Paid,8.72,0,1-Nov,2,,,2,0,2956,98.5,10,0,0,3003.653644,3003.65,2400,603.65,0,0,0,649.91,16-Jan
10000, 36 months,13.49,339.31,C,C1,10+ years,RENT,49200,Source Verified,Fully Paid,20,0,Feb-96,1,35,,10,0,5598,21,37,0,0,12226.30221,12226.3,10000,2209.33,16.97,0,0,357.48,15-Jan
3000, 60 months,12.69,67.79,B,B5,1 year,RENT,80000,Source Verified,Current,17.94,0,Jan-96,0,38,,15,0,27783,53.9,38,766.9,766.9,3242.17,3242.17,2233.1,1009.07,0,0,0,67.79,16-Jan
5000, 36 months,7.9,156.46,A,A4,3 years,RENT,36000,Source Verified,Fully Paid,11.2,0,4-Nov,3,,,9,0,7963,28.3,12,0,0,5631.377753,5631.38,5000,631.38,0,0,0,161.03,15-Sep
7000, 60 months,15.96,170.08,C,C5,8 years,RENT,47004,Not Verified,Current,23.51,0,5-Jul,1,,,7,0,17726,85.6,11,1889.15,1889.15,8136.84,8136.84,5110.85,3025.99,0,0,0,170.08,16-Jan
3000, 36 months,18.64,109.43,E,E1,9 years,RENT,48000,Source Verified,Fully Paid,5.35,0,7-Jan,2,,,4,0,8221,87.5,4,0,0,3938.144334,3938.14,3000,938.14,0,0,0,111.34,14-Dec
5600, 60 months,21.28,152.39,F,F2,4 years,OWN,40000,Source Verified,Charged Off,5.55,0,4-Apr,2,,,11,0,5210,32.6,13,0,0,646.02,646.02,162.02,294.94,0,189.06,2.09,152.39,12-Aug
5375, 60 months,12.69,121.45,B,B5,< 1 year,RENT,15000,Verified,Charged Off,18.08,0,4-Sep,0,,,2,0,9279,36.5,3,0,0,1476.19,1469.34,673.48,533.42,0,269.29,2.52,121.45,13-Mar
6500, 60 months,14.65,153.45,C,C3,5 years,OWN,72000,Not Verified,Fully Paid,16.12,0,Jan-98,2,,,14,0,4032,20.6,23,0,0,7677.52,7677.52,6500,1177.52,0,0,0,1655.54,15-Dec
12000, 36 months,12.69,402.54,B,B5,10+ years,OWN,75000,Source Verified,Fully Paid,10.78,0,Oct-89,0,,,12,0,23336,67.1,34,0,0,13943.08,13943.08,12000,1943.08,0,0,0,6315.3,13-Aug
9000, 36 months,13.49,305.38,C,C1,< 1 year,RENT,30000,Source Verified,Charged Off,10.08,0,4-Apr,1,,,4,0,10452,91.7,9,0,0,2270.7,2270.7,1256.14,570.26,0,444.3,4.16,305.38,12-Nov
3000, 36 months,9.91,96.68,B,B1,3 years,RENT,15000,Source Verified,Fully Paid,12.56,0,3-Jul,2,,,11,0,7323,43.1,11,0,0,3478.981915,3478.98,3000,478.98,0,0,0,102.43,16-Jan
10000, 36 months,10.65,325.74,B,B2,3 years,RENT,100000,Source Verified,Charged Off,7.06,0,May-91,2,,,14,0,11997,55.5,29,0,0,7471.99,7471.99,5433.47,1393.42,0,645.1,6.3145,325.74,14-Mar
