Project ID,Opportunity Owner,Account Name,Stage, Amount ,Expected Revenue,Probability,Service Category,Service Line,Stage Number,New Business,Account Type,Billing Type,MSA Signed,Unsolicited Proposal,Deliverable Type
1,Amandeep Sidhu,"Dana Companies, Llc",Signed Contract,7680,7680,1,,Enterprise Solutions,8,0,US-Central BU,Time and Expense,0,No,Scope of Work / Project
2,Amandeep Sidhu,"Dana Companies, Llc",Verbal Agreement,6400,5760,1,,Enterprise Solutions,7,0,US-Central BU,Time and Expense,0,No,Scope of Work / Project
3,Amandeep Sidhu,"Dana Companies, Llc",Verbal Agreement,3600,3240,1,,Enterprise Solutions,7,0,US-Central BU,Time and Expense,0,No,Scope of Work / Project
4,Amandeep Sidhu,"Dana Companies, Llc",Verbal Agreement,3600,3240,1,,Enterprise Solutions,7,0,US-Central BU,Time and Expense,0,No,Scope of Work / Project
5,Anand Nair,"Wellpoint, Inc",Signed Contract,50224,50224,1,Mainframe Systems,Technology Build Services,8,0,WellPoint BU,Flat Fee Monthly,0,No,Staff Augmentation
6,Anand Nair,"Wellpoint, Inc",Signed Contract,205842,205842,1,,Technology Build Services,8,0,WellPoint BU,Flat Fee Monthly,0,No,Staff Augmentation
7,Anand Nair,"Wellpoint, Inc",Signed Contract,192066,192066,1,,Technology Build Services,8,0,WellPoint BU,Flat Fee Monthly,0,No,Staff Augmentation
8,Arun Satyan,OfficeMax Incorporated,Proposal On-desk Stage,50000,30000,1,Mainframe Systems,Technology Build Services,5,0,US-Central BU,Time and Expense,0,No,Staff Augmentation
9,Brian Runyan,Sempra Energy,Opportunity Identification Stage,10000000,3000000,0,,Application Managed Services,3,0,US-West BU,Flat Fee Monthly,0,Yes,Managed Services / SLA Based
10,Chris Bryson,Starbucks,Proposal Preparation Stage,148200,74100,1,,Technology Build Services,4,0,US-West BU,Fixed Bid,0,No,Scope of Work / Project
11,Chris Bryson,CareFusion,Proposal Preparation Stage,500000,250000,1,,Enterprise Solutions,4,0,US-West BU,Flat Fee Monthly,1,No,Managed Services / SLA Based
12,Haresh Tripathi,Cisco,Signed Contract,68628,68628,1,Java Systems,Technology Build Services,8,1,Cisco,Flat Fee Monthly,0,Yes,Staff Augmentation
13,Haresh Tripathi,Cisco,Proposal Preparation Stage,800000,400000,1,,Infrastructure Management Services,4,0,Cisco,Time and Expense,0,Yes,Staff Augmentation
14,Haresh Tripathi,Cisco,Proposal Preparation Stage,10000,5000,1,,Application Managed Services,4,0,Cisco,T and E with Cap,0,No,Staff Augmentation
15,James Jarvis,Alliance Boots Holdings Ltd.,Proposal On-desk Stage,750000,525000,1,Domain-specific Testing,Quality and Testing,5,0,Europe BU,Flat Fee Monthly,1,No,Staff Augmentation
16,James Jarvis,UBS,Opportunity Identification Stage,7000000,3500000,1,,Application Managed Services,3,1,Europe BU,Flat Fee Monthly,0,Yes,Managed Services / SLA Based
17,James Jarvis,Alliance Boots Holdings Ltd.,Opportunity Identification Stage,350000,105000,0,,Quality and Testing,3,0,Europe BU,Time and Expense,1,No,Staff Augmentation
18,James Jarvis,Specsavers Optical Group Limited,Opportunity Identification Stage,2500000,750000,0,,Enterprise Solutions,3,1,Europe BU,Fixed Bid,0,No,Scope of Work / Project
19,Jose Ossa,Vanguard,Negotiation / Short-list Stage,718411,574728.8,1,Microsoft Systems,Technology Build Services,6,0,US-East BU,Fixed Bid,0,No,Scope of Work / Project
20,Jose Ossa,Vanguard,Verbal Agreement,61920,55728,1,,Quality and Testing,7,0,US-East BU,Time and Expense,0,No,Staff Augmentation
21,Jose Ossa,Vanguard,Verbal Agreement,61920,55728,1,,Technology Build Services,7,0,US-East BU,Time and Expense,0,No,Staff Augmentation
22,Jose Ossa,Vanguard,Verbal Agreement,82560,74304,1,,Technology Build Services,7,0,US-East BU,Time and Expense,0,No,Staff Augmentation
