Project ID ,Opportunity Owner,Account Name,Stage, Amount ,Expected Revenue,Probability,Service Category,Service Line,Stage Number,Account Type,Billing Type,MSA Signed
1,Amandeep Sidhu,"Dana Companies, Llc",Signed Contract,7680,7680,1,,Enterprise Solutions,8,US-Central BU,Time and Expense,0
2,Amandeep Sidhu,"Dana Companies, Llc",Verbal Agreement,6400,5760,1,,Enterprise Solutions,7,US-Central BU,Time and Expense,0
3,Amandeep Sidhu,"Dana Companies, Llc",Verbal Agreement,3600,3240,1,,Enterprise Solutions,7,US-Central BU,Time and Expense,0
4,Amandeep Sidhu,"Dana Companies, Llc",Verbal Agreement,3600,3240,1,,Enterprise Solutions,7,US-Central BU,Time and Expense,0
5,Anand Nair,"Wellpoint, Inc",Signed Contract,50224,50224,1,Mainframe Systems,Technology Build Services,8,WellPoint BU,Flat Fee Monthly,0
6,Anand Nair,"Wellpoint, Inc",Signed Contract,205842,205842,1,,Technology Build Services,8,WellPoint BU,Flat Fee Monthly,0
7,Anand Nair,"Wellpoint, Inc",Signed Contract,192066,192066,1,,Technology Build Services,8,WellPoint BU,Flat Fee Monthly,0
8,Arun Satyan,OfficeMax Incorporated,Proposal On-desk Stage,50000,30000,0,Mainframe Systems,Technology Build Services,5,US-Central BU,Time and Expense,0
9,Brian Runyan,Sempra Energy,Opportunity Identification Stage,10000000,3000000,0,,Application Managed Services,3,US-West BU,Flat Fee Monthly,0
10,Chris Bryson,Starbucks,Proposal Preparation Stage,148200,74100,0,,Technology Build Services,4,US-West BU,Fixed Bid,0
11,Chris Bryson,CareFusion,Proposal Preparation Stage,500000,250000,0,,Enterprise Solutions,4,US-West BU,Flat Fee Monthly,1
12,Haresh Tripathi,Cisco,Signed Contract,68628,68628,1,Java Systems,Technology Build Services,8,Cisco,Flat Fee Monthly,0
13,Haresh Tripathi,Cisco,Proposal Preparation Stage,800000,400000,0,,Infrastructure Management Services,4,Cisco,Time and Expense,0
14,Haresh Tripathi,Cisco,Proposal Preparation Stage,10000,5000,0,,Application Managed Services,4,Cisco,T and E with Cap,0
15,James Jarvis,Alliance Boots Holdings Ltd.,Proposal On-desk Stage,750000,525000,1,Domain-specific Testing,Quality and Testing,5,Europe BU,Flat Fee Monthly,1
16,James Jarvis,UBS,Opportunity Identification Stage,7000000,3500000,0,,Application Managed Services,3,Europe BU,Flat Fee Monthly,0
17,James Jarvis,Alliance Boots Holdings Ltd.,Opportunity Identification Stage,350000,105000,0,,Quality and Testing,3,Europe BU,Time and Expense,1
18,James Jarvis,Specsavers Optical Group Limited,Opportunity Identification Stage,2500000,750000,0,,Enterprise Solutions,3,Europe BU,Fixed Bid,0
19,Jose Ossa,Vanguard,Negotiation / Short-list Stage,718411,574728.8,1,Microsoft Systems,Technology Build Services,6,US-East BU,Fixed Bid,0
20,Jose Ossa,Vanguard,Verbal Agreement,61920,55728,1,,Quality and Testing,7,US-East BU,Time and Expense,0
21,Jose Ossa,Vanguard,Verbal Agreement,61920,55728,1,,Technology Build Services,7,US-East BU,Time and Expense,0
22,Jose Ossa,Vanguard,Verbal Agreement,82560,74304,1,,Technology Build Services,7,US-East BU,Time and Expense,0
23,Karen Gelstein,Pitney Bowes Inc.,Opportunity Closed LOST,600000,0,0,Microsoft Systems,Technology Build Services,-1,US-East BU,Fixed Bid,0
24,Kenton Kisler,Saxon Mortgage,Verbal Agreement,80300,56210,1,Organization and Process Improvement,Quality and Testing,7,US-West BU,Flat Fee Monthly,1
25,Kenton Kisler,Saxon Mortgage,Opportunity Identification Stage,150000,45000,0,,Consulting,3,US-West BU,Flat Fee Monthly,1
26,Kenton Kisler,Saxon Mortgage,Opportunity Identification Stage,100000,30000,0,,Consulting,3,US-West BU,Flat Fee Monthly,1
27,Kevin Swanson,"Wellpoint, Inc",Signed Contract,382650.2,382650.2,1,,Technology Build Services,8,WellPoint BU,Flat Fee Monthly,0
28,Kevin Swanson,"Wellpoint, Inc",Signed Contract,203724,203724,1,,Technology Build Services,8,WellPoint BU,Flat Fee Monthly,0
