,id,member_id,CLI,int_rate,installment,annual_inc,dti,delinq_2yrs,inq_last_6mths,open_acc,pub_rec,revol_bal,revol_util,total_acc,out_prncp,out_prncp_inv,total_pymnt,total_pymnt_inv,total_rec_prncp,total_rec_int,total_rec_late_fee,recoveries,collection_recovery_fee,last_pymnt_amnt,term_ 36 months,term_ 60 months,grade_A,grade_B,grade_C,grade_D,grade_E,grade_F,sub_grade_A1,sub_grade_A2,sub_grade_A3,sub_grade_A4,sub_grade_A5,sub_grade_B1,sub_grade_B2,sub_grade_B3,sub_grade_B4,sub_grade_B5,sub_grade_C1,sub_grade_C2,sub_grade_C3,sub_grade_C4,sub_grade_C5,sub_grade_D1,sub_grade_D2,sub_grade_D3,sub_grade_D4,sub_grade_D5,sub_grade_E1,sub_grade_E3,sub_grade_E4,sub_grade_F2,sub_grade_F3,sub_grade_F4,emp_length_1 year,emp_length_10+ years,emp_length_2 years,emp_length_3 years,emp_length_4 years,emp_length_5 years,emp_length_6 years,emp_length_7 years,emp_length_8 years,emp_length_9 years,emp_length_< 1 year,home_ownership_MORTGAGE,home_ownership_OWN,home_ownership_RENT,verification_status_Not Verified,verification_status_Source Verified,verification_status_Verified,loan_status_Charged Off,loan_status_Current,loan_status_Fully Paid,earliest_cr_line_1-Dec,earliest_cr_line_1-Jan,earliest_cr_line_1-Jun,earliest_cr_line_1-Nov,earliest_cr_line_2-Feb,earliest_cr_line_2-Jan,earliest_cr_line_2-Jul,earliest_cr_line_2-Jun,earliest_cr_line_2-May,earliest_cr_line_2-Oct,earliest_cr_line_2-Sep,earliest_cr_line_3-Apr,earliest_cr_line_3-Jan,earliest_cr_line_3-Jul,earliest_cr_line_3-Jun,earliest_cr_line_3-May,earliest_cr_line_3-Nov,earliest_cr_line_3-Oct,earliest_cr_line_4-Apr,earliest_cr_line_4-Dec,earliest_cr_line_4-Jun,earliest_cr_line_4-Nov,earliest_cr_line_4-Sep,earliest_cr_line_5-Apr,earliest_cr_line_5-Jul,earliest_cr_line_5-Oct,earliest_cr_line_5-Sep,earliest_cr_line_6-Jul,earliest_cr_line_6-May,earliest_cr_line_6-Nov,earliest_cr_line_6-Oct,earliest_cr_line_7-Apr,earliest_cr_line_7-Jan,earliest_cr_line_7-Jun,earliest_cr_line_7-Oct,earliest_cr_line_7-Sep,earliest_cr_line_Apr-00,earliest_cr_line_Apr-92,earliest_cr_line_Apr-95,earliest_cr_line_Apr-99,earliest_cr_line_Aug-84,earliest_cr_line_Aug-93,earliest_cr_line_Dec-00,earliest_cr_line_Dec-84,earliest_cr_line_Dec-87,earliest_cr_line_Dec-94,earliest_cr_line_Dec-96,earliest_cr_line_Dec-98,earliest_cr_line_Dec-99,earliest_cr_line_Feb-83,earliest_cr_line_Feb-84,earliest_cr_line_Feb-96,earliest_cr_line_Feb-97,earliest_cr_line_Jan-00,earliest_cr_line_Jan-85,earliest_cr_line_Jan-86,earliest_cr_line_Jan-96,earliest_cr_line_Jan-98,earliest_cr_line_Jul-85,earliest_cr_line_Jul-99,earliest_cr_line_Jun-89,earliest_cr_line_Jun-95,earliest_cr_line_Mar-94,earliest_cr_line_May-00,earliest_cr_line_May-91,earliest_cr_line_May-97,earliest_cr_line_Nov-81,earliest_cr_line_Nov-95,earliest_cr_line_Nov-97,earliest_cr_line_Oct-00,earliest_cr_line_Oct-89,earliest_cr_line_Oct-96,earliest_cr_line_Oct-98,earliest_cr_line_Sep-92,earliest_cr_line_Sep-98,last_credit_pull_d_12-Aug,last_credit_pull_d_12-Dec,last_credit_pull_d_12-Jul,last_credit_pull_d_12-Jun,last_credit_pull_d_12-Nov,last_credit_pull_d_12-Oct,last_credit_pull_d_12-Sep,last_credit_pull_d_13-Aug,last_credit_pull_d_13-Feb,last_credit_pull_d_13-Mar,last_credit_pull_d_13-May,last_credit_pull_d_13-Nov,last_credit_pull_d_13-Oct,last_credit_pull_d_13-Sep,last_credit_pull_d_14-Apr,last_credit_pull_d_14-Dec,last_credit_pull_d_14-Feb,last_credit_pull_d_14-Jul,last_credit_pull_d_14-Mar,last_credit_pull_d_14-May,last_credit_pull_d_14-Oct,last_credit_pull_d_14-Sep,last_credit_pull_d_15-Apr,last_credit_pull_d_15-Dec,last_credit_pull_d_15-Jan,last_credit_pull_d_15-Jul,last_credit_pull_d_15-Jun,last_credit_pull_d_15-Mar,last_credit_pull_d_15-Nov,last_credit_pull_d_15-Oct,last_credit_pull_d_15-Sep,last_credit_pull_d_16-Jan
0,1077501,1296599,5000,10.65,162.87,24000.0,27.65,0,1,3,0,13648,83.7,9,0.0,0.0,5861.071414,5831.78,5000.0,861.07,0.0,0.0,0.0,171.62,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,1077430,1314167,2500,15.27,59.83,30000.0,1.0,0,5,3,0,1687,9.4,4,0.0,0.0,1008.71,1008.71,456.46,435.17,0.0,117.08,1.11,119.66,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1077175,1313524,2400,15.96,84.33,12252.0,8.72,0,2,2,0,2956,98.5,10,0.0,0.0,3003.653644,3003.65,2400.0,603.65,0.0,0.0,0.0,649.91,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3,1076863,1277178,10000,13.49,339.31,49200.0,20.0,0,1,10,0,5598,21.0,37,0.0,0.0,12226.30221,12226.3,10000.0,2209.33,16.97,0.0,0.0,357.48,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4,1075358,1311748,3000,12.69,67.79,80000.0,17.94,0,0,15,0,27783,53.9,38,766.9,766.9,3242.17,3242.17,2233.1,1009.07,0.0,0.0,0.0,67.79,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
5,1075269,1311441,5000,7.9,156.46,36000.0,11.2,0,3,9,0,7963,28.3,12,0.0,0.0,5631.377753,5631.38,5000.0,631.38,0.0,0.0,0.0,161.03,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
6,1069639,1304742,7000,15.96,170.08,47004.0,23.51,0,1,7,0,17726,85.6,11,1889.15,1889.15,8136.84,8136.84,5110.85,3025.99,0.0,0.0,0.0,170.08,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7,1072053,1288686,3000,18.64,109.43,48000.0,5.35,0,2,4,0,8221,87.5,4,0.0,0.0,3938.144334,3938.14,3000.0,938.14,0.0,0.0,0.0,111.34,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,1071795,1306957,5600,21.28,152.39,40000.0,5.55,0,2,11,0,5210,32.6,13,0.0,0.0,646.02,646.02,162.02,294.94,0.0,189.06,2.09,152.39,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,1071570,1306721,5375,12.69,121.45,15000.0,18.08,0,0,2,0,9279,36.5,3,0.0,0.0,1476.19,1469.34,673.48,533.42,0.0,269.29,2.52,121.45,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
